"UNIT NUMBER","total_predicted_cost","total_actual_cost","avg_repair_duration","work_order_count","last_service_date","strategy","estimated_savings"
"12200127",889.744590093408,1291.826625,0,1,6-12-24,"Keep as-it is",0
"12200128",3962.0588176912,3487.501676,0,10,10-10-24,"Monitor Closely",396.20588176912
"12200129",459.281223953804,617.005278,0,2,10-12-24,"Keep as-it is",0
"12200130",2587.4713414854,1935.158702,10.2222222222222,9,9-10-24,"Keep as-it is",0
"12200131",1600.84861339381,1569.709134,11.8,5,7-09-24,"Keep as-it is",0
"12200132",1245.12135356866,1437.790148,0,3,8-06-24,"Keep as-it is",0
"12200133",2241.00456622086,2720.651834,15.25,4,10-01-24,"Keep as-it is",0
"12200134",3154.33253816807,5325.308055,20.3333333333333,6,12-02-24,"Monitor Closely",315.433253816807
"12200135",8018.93025372259,7257.269473,12.4,10,12-04-24,"Monitor Closely",801.89302537226
"12200136",2772.15887585811,4455.267125,19,8,9-03-24,"Keep as-it is",0
"12200137",2772.80786557557,2373.250875,0,10,9-03-24,"Keep as-it is",0
"12200138",1966.46943244633,1661.777167,0,4,12-03-24,"Keep as-it is",0
"12200139",5846.86538293904,4749.54175,12,15,10-03-24,"Monitor Closely",584.686538293904
"12200140",5874.61156276724,4622.288625,32,18,12-10-24,"Monitor Closely",587.461156276724
"12200141",2321.67770163669,1848.36175,30,8,11-07-24,"Monitor Closely",232.167770163669
"12200142",2406.94211516243,2948.7687,0,4,11-01-24,"Keep as-it is",0
"12200143",2936.32226710184,2641.123625,80.7777777777778,9,10-11-24,"Monitor Closely",293.632226710184
"12200144",904.240409894605,1037.800336,0,5,12-10-24,"Keep as-it is",0
"12200145",2713.28887043394,2642.128793,3.1,10,10-11-24,"Keep as-it is",0
"12200146",1625.39174170011,1500.620209,0,6,10-09-24,"Keep as-it is",0
"12200158",5079.79703323378,6769.459556,2.33333333333333,12,12-01-24,"Monitor Closely",507.979703323378
"12200165",874.701524044782,0,35,6,9-02-24,"Monitor Closely",87.4701524044782
"12200166",1429.0046710765,417.395475,10.1666666666667,6,11-11-24,"Keep as-it is",0
"12200168",1448.68286220908,46.470375,35,7,12-12-24,"Monitor Closely",144.868286220908
"12200170",4965.35875720414,6661.804525,15.125,8,11-06-24,"Monitor Closely",496.535875720414
"12200171",7006.046516929,5086.998175,9.46153846153846,13,12-04-24,"Monitor Closely",700.6046516929
"12200172",4381.64241417363,3754.15795,54.7,10,7-12-24,"Monitor Closely",438.164241417363
"12200182",3608.68919066851,2942.980168,37.75,12,12-05-24,"Monitor Closely",360.868919066851
"12200183",6060.25509057204,5950.123567,50.8333333333333,18,12-03-24,"Consider Replacement",1515.06377264301
"12200184",1948.60821255384,1476.769234,51.8571428571429,7,12-08-24,"Monitor Closely",194.860821255384
"12200185",3564.62366406832,1199.829167,21.75,8,12-11-24,"Monitor Closely",356.462366406832
